date	new_cases
2019-12-08	1
2019-12-09	0
2019-12-10	1
2019-12-11	0
2019-12-12	0
2019-12-13	1
2019-12-14	0
2019-12-15	2
2019-12-16	1
2019-12-17	1
2019-12-18	0
2019-12-19	2
2019-12-20	4
2019-12-21	4
2019-12-22	3
2019-12-23	4
2019-12-24	0
2019-12-25	4
2019-12-26	1
2019-12-27	3
2019-12-28	2
2019-12-29	6
2019-12-30	5
2019-12-31	2
2020-01-01	10
2020-01-02	7
2020-01-03	13
2020-01-04	13
2020-01-05	15
2020-01-06	19
2020-01-07	31
2020-01-08	44
2020-01-09	32
2020-01-10	33
2020-01-11	33
2020-01-12	30
2020-01-13	22
2020-01-14	23
2020-01-15	23
2020-01-16	13
2020-01-17	6
2020-01-18	6
2020-01-19	2
2020-01-20	23
2020-01-21	21
2020-01-22	82
2020-01-23	93
2020-01-24	277
2020-01-25	483
2020-01-26	666
2020-01-27	802
2020-01-28	2632
2020-01-29	576
2020-01-30	2054
2020-01-31	1659
2020-02-01	2088
2020-02-02	4737
2020-02-03	3086
2020-02-04	3989
2020-02-05	3729
2020-02-06	3144
2020-02-07	3522
2020-02-08	2703
2020-02-09	3012
2020-02-10	2516
2020-02-11	2021
2020-02-12	372
2020-02-13	15133
2020-02-14	6460
2020-02-15	2055
2020-02-16	2099
2020-02-17	1918
2020-02-18	1775
2020-02-19	407
2020-02-20	453
2020-02-21	473
2020-02-22	1450
2020-02-23	16
2020-02-24	214
2020-02-25	508
2020-02-26	405
2020-02-27	433
2020-02-28	326
2020-02-29	427
2020-03-01	575
2020-03-02	200
2020-03-03	125
2020-03-04	120
2020-03-05	151
2020-03-06	151
2020-03-07	79
2020-03-08	47
2020-03-09	36
2020-03-10	22
2020-03-11	28
2020-03-12	8
2020-03-13	8
2020-03-14	26
2020-03-15	21
2020-03-16	20
2020-03-17	18
