date	cumulative_cases
2019-12-08	1
2019-12-09	1
2019-12-10	2
2019-12-11	2
2019-12-12	2
2019-12-13	3
2019-12-14	3
2019-12-15	5
2019-12-16	6
2019-12-17	7
2019-12-18	7
2019-12-19	9
2019-12-20	13
2019-12-21	17
2019-12-22	20
2019-12-23	24
2019-12-24	24
2019-12-25	28
2019-12-26	29
2019-12-27	32
2019-12-28	34
2019-12-29	40
2019-12-30	45
2019-12-31	47
2020-01-01	57
2020-01-02	64
2020-01-03	77
2020-01-04	90
2020-01-05	105
2020-01-06	124
2020-01-07	155
2020-01-08	199
2020-01-09	231
2020-01-10	264
2020-01-11	297
2020-01-12	327
2020-01-13	349
2020-01-14	372
2020-01-15	395
2020-01-16	408
2020-01-17	414
2020-01-18	420
2020-01-19	422
2020-01-20	449
2020-01-21	471
2020-01-22	554
2020-01-23	653
2020-01-24	939
2020-01-25	1432
2020-01-26	2113
2020-01-27	2922
2020-01-28	5573
2020-01-29	6161
2020-01-30	8229
2020-01-31	9921
2020-02-01	12030
2020-02-02	16780
2020-02-03	19871
2020-02-04	23881
2020-02-05	27624
2020-02-06	30783
2020-02-07	34380
2020-02-08	37109
2020-02-09	40139
2020-02-10	42751
2020-02-11	44790
2020-02-12	45209
2020-02-13	60355
2020-02-14	66872
2020-02-15	69017
2020-02-16	71211
2020-02-17	73245
2020-02-18	75123
2020-02-19	75626
2020-02-20	76184
2020-02-21	76804
2020-02-22	78557
2020-02-23	78943
2020-02-24	79510
2020-02-25	80355
2020-02-26	81331
2020-02-27	82688
2020-02-28	84052
2020-02-29	85943
2020-03-01	88295
2020-03-02	90208
2020-03-03	92722
2020-03-04	94971
2020-03-05	97669
2020-03-06	101540
2020-03-07	105446
2020-03-08	109304
2020-03-09	113010
2020-03-10	117663
2020-03-11	124596
2020-03-12	126691
2020-03-13	143028
2020-03-14	153376
2020-03-15	163957
2020-03-16	176971
2020-03-17	190759
2020-03-18	207119
2020-03-19	228913
2020-03-20	253039
2020-03-21	279022
2020-03-22	303813
2020-03-23	334535
2020-03-24	364488
2020-03-25	402076
2020-03-26	445976
2020-03-27	491878
2020-03-28	539570
2020-03-29	579601
2020-03-30	620977
2020-03-31	669324
